Date,Pageviews
2024-01-14,65
2024-01-15,49
2024-01-16,70
2024-01-17,76
2024-01-18,64
2024-01-19,74
2024-01-20,48
2024-01-21,67
2024-01-22,92
2024-01-23,77
2024-01-24,89
2024-01-25,88
2024-01-26,91
2024-01-27,54
2024-01-28,60
2024-01-29,101
2024-01-30,91
2024-01-31,105
2024-02-01,87
2024-02-02,80
2024-02-03,44
2024-02-04,55
2024-02-05,87
2024-02-06,83
2024-02-07,88
2024-02-08,92
2024-02-09,81
2024-02-10,73
2024-02-11,46
2024-02-12,100
2024-02-13,72
2024-02-14,70
2024-02-15,104
2024-02-16,79
2024-02-17,57
2024-02-18,56
2024-02-19,84
2024-02-20,124
2024-02-21,137
2024-02-22,87
2024-02-23,88
2024-02-24,79
2024-02-25,61
2024-02-26,91
2024-02-27,82
2024-02-28,95
2024-02-29,81
2024-03-01,107
2024-03-02,67
2024-03-03,48
2024-03-04,81
2024-03-05,83
2024-03-06,86
2024-03-07,116
2024-03-08,87
2024-03-09,71
2024-03-10,62
2024-03-11,98
2024-03-12,146
2024-03-13,108
