Date,Pageviews
2024-01-14,24
2024-01-15,36
2024-01-16,74
2024-01-17,69
2024-01-18,52
2024-01-19,61
2024-01-20,38
2024-01-21,22
2024-01-22,63
2024-01-23,66
2024-01-24,75
2024-01-25,71
2024-01-26,81
2024-01-27,23
2024-01-28,13
2024-01-29,59
2024-01-30,64
2024-01-31,65
2024-02-01,51
2024-02-02,44
2024-02-03,33
2024-02-04,26
2024-02-05,59
2024-02-06,118
2024-02-07,139
2024-02-08,96
2024-02-09,79
2024-02-10,39
2024-02-11,33
2024-02-12,57
2024-02-13,51
2024-02-14,65
2024-02-15,66
2024-02-16,39
2024-02-17,25
2024-02-18,21
2024-02-19,40
2024-02-20,68
2024-02-21,45
2024-02-22,48
2024-02-23,55
2024-02-24,33
2024-02-25,12
2024-02-26,73
2024-02-27,49
2024-02-28,56
2024-02-29,59
2024-03-01,43
2024-03-02,26
2024-03-03,29
2024-03-04,57
2024-03-05,67
2024-03-06,75
2024-03-07,57
2024-03-08,35
2024-03-09,23
2024-03-10,28
2024-03-11,43
2024-03-12,89
2024-03-13,43
